"Document Name","URL","File ID","Category","Chunk Count","Blob Type","Created Date","Modified Date"
"7","https://docs.google.com/presentation/d/1uzlv-HVGzBrcdU5aD9aW4ruHUGiE2IHBT0o0crcvK94/edit?usp=drivesdk","","PDF Document","36","application/pdf","",""
"8/3 Ally 2 Training Deckv2","https://docs.google.com/presentation/d/1OE9r6Mzj-Zf_YmoBlF_j5E1-PEszixzoZ4d0Z2Zm3Gs/edit?usp=drivesdk","1OE9r6Mzj-Zf_YmoBlF_j5E1-PEszixzoZ4d0Z2Zm3Gs","Presentation/Deck","135","application/pdf","2025-07-31","2025-10-14"
"AC Copilot - Competitive Intelligence","https://docs.google.com/presentation/d/1Y4UywKXgAam6FGYGCBJebZPMR2PX-cxajdE8hlIIY14/edit?usp=drivesdk","1Y4UywKXgAam6FGYGCBJebZPMR2PX-cxajdE8hlIIY14","Battle Card","190","application/pdf","2024-10-22","2025-11-12"
"Agent Pitch - Customer Presentation","https://docs.google.com/presentation/d/1Dp3Fx3TGE1I1l2XA-mgm9-rALcEZoeISgXnSL40G8xI/edit?usp=drivesdk","","PDF Document","914","application/pdf","",""
"AGO - Chorus Recording / Demo Video Links","https://docs.google.com/document/d/1fwLWPNbVMpP8wOEyaYpkY75TTa0c7y5vrdZ2GztKXLs/edit?usp=drivesdk","1fwLWPNbVMpP8wOEyaYpkY75TTa0c7y5vrdZ2GztKXLs","Other","1","text/plain","2025-10-15","2025-10-15"
"AI Goal Optimizer - External Customer Deck","https://docs.google.com/presentation/d/19HptMAE3kaQhsIQsMd0x-cSL1_sHOzb6cAHebMBa2J4/edit?usp=drivesdk","19HptMAE3kaQhsIQsMd0x-cSL1_sHOzb6cAHebMBa2J4","Presentation/Deck","15","application/pdf","2025-09-17","2025-11-18"
"AI Goal Optimizer - Internal Training Deck V2","https://docs.google.com/presentation/d/1icEP_MRHspJzIOkHHXA9heemdaOEIAvaugt_F2SG-Yw/edit?usp=drivesdk","1icEP_MRHspJzIOkHHXA9heemdaOEIAvaugt_F2SG-Yw","Presentation/Deck","35","application/pdf","2025-09-16","2025-11-19"
"Ally I Teammate Training","https://docs.google.com/presentation/d/1nYPCt3ZJLtDZDm-y27jykNt0-2guUdURHk4iGgaYMno/edit?usp=drivesdk","1nYPCt3ZJLtDZDm-y27jykNt0-2guUdURHk4iGgaYMno","Training Material","58","application/pdf","2025-08-03","2025-11-11"
"Ally Messaging Framework.docx","https://docs.google.com/document/d/1HNIcRkzEeC6q30a_9nQQFNJA0w8OBXPw/edit?usp=drivesdk&ouid=118049293918336601246&rtpof=true&sd=true","1HNIcRkzEeC6q30a_9nQQFNJA0w8OBXPw","Framework/Messaging","57","application/vnd.openxmlformats-officedocument.wordprocessingml.document","2025-03-14","2025-10-27"
"Ally Sales Teamate Briefing","https://docs.google.com/presentation/d/1I-_Lvz99yHCLNp9UxJQvXqCiJxi7--DDGNpXQSnJwtI/edit?usp=drivesdk","1I-_Lvz99yHCLNp9UxJQvXqCiJxi7--DDGNpXQSnJwtI","PDF Document","55","application/pdf","2025-08-23","2025-10-02"
"Ally Training Deck 5/9","https://docs.google.com/presentation/d/1ZxSGExOKRkpMJhynxUeecVBHtJ4aGIMBih6ZX75ZmA4/edit?usp=drivesdk","1ZxSGExOKRkpMJhynxUeecVBHtJ4aGIMBih6ZX75ZmA4","Presentation/Deck","83","application/pdf","2025-04-30","2025-09-19"
"AllyAI Category Teammate","https://docs.google.com/presentation/d/1uUruwGH6HqqgV_OA-q-NOe_pg6bVMDo3A5rHRq2hj1s/edit?usp=drivesdk","1uUruwGH6HqqgV_OA-q-NOe_pg6bVMDo3A5rHRq2hj1s","PDF Document","21","application/pdf","2025-05-09","2025-11-11"
"AllyAI Content Agent","https://docs.google.com/presentation/d/1Y_Uow7sGBwMLm3SA0ej2YLOUMQhjeRE-_6zSfkvwX4k/edit?usp=drivesdk","1Y_Uow7sGBwMLm3SA0ej2YLOUMQhjeRE-_6zSfkvwX4k","PDF Document","20","application/pdf","2025-12-12","2025-12-12"
"AllyAI Media Teammate ","https://docs.google.com/presentation/d/1_m50KB13PrTeJe0p6QYHT9zlRwcALL1DuuP1GLq_f2g/edit?usp=drivesdk","","PDF Document","14","application/pdf","",""
"AllyAI Media Teammate I 1-Click Report MBR MoM Example Generic ","https://docs.google.com/presentation/d/1rA9tZCkZpMBQ8onkwwQEIs3yliAMGMk9fvtptU1UpCs/edit?usp=drivesdk","","Industry Report","10","application/pdf","",""
"AllyAI Product Hub","https://docs.google.com/document/d/1MAP6MkhW7IZrAGWFLrFZHCSIT4B2E3cRj4DUscZyrMw/edit?usp=drivesdk","","Product Documentation","41","text/plain","",""
"AllyAI Sales Teammate","https://docs.google.com/presentation/d/1CxJFq3Y56UDNfCaQqaQAzflnyJ_UB86HGGE5BKxmFYc/edit?usp=drivesdk","1CxJFq3Y56UDNfCaQqaQAzflnyJ_UB86HGGE5BKxmFYc","PDF Document","27","application/pdf","2025-05-09","2025-11-19"
"April 2024 - Internal Competitive Update Slides","https://docs.google.com/presentation/d/1JkImyzIkVNClT-xWDBA4dtHHTpuFu6zDyTo01wDPbao/edit?usp=drivesdk","1JkImyzIkVNClT-xWDBA4dtHHTpuFu6zDyTo01wDPbao","Battle Card","42","application/pdf","2024-04-30","2024-05-13"
"Ascential/Omnicom Competitive Battle Card (Updated May 2024)","https://docs.google.com/presentation/d/13WUXmDPUpxXHK0CG-EWKukO3pShZXjGz30K9W7G9T6U/edit?usp=drivesdk","13WUXmDPUpxXHK0CG-EWKukO3pShZXjGz30K9W7G9T6U","Battle Card","135","application/pdf","2023-12-01","2024-08-07"
"Brand-Level Incrementality Messaging Framework June 25 Internal.docx","https://docs.google.com/document/d/1lFXywXkPeL36rT9WPz5W8ATQ6bOyNLn2/edit?usp=drivesdk&ouid=118049293918336601246&rtpof=true&sd=true","1lFXywXkPeL36rT9WPz5W8ATQ6bOyNLn2","Framework/Messaging","9","application/vnd.openxmlformats-officedocument.wordprocessingml.document","2025-06-12","2025-08-21"
