"Document Name","URL","File ID","Category","Priority","Notes"
"CommerceIQ Sales Agent Messaging Framework.docx","https://docs.google.com/document/d/1UvrqNqH79UC77DtfpV4FveNEfQEStcyt/edit?usp=drivesdk&ouid=118049293918336601246&rtpof=true&sd=true","1UvrqNqH79UC77DtfpV4FveNEfQEStcyt","Framework/Doc","High",""
"Content Agent_Product Box_WIP","https://docs.google.com/document/d/1s55HQJaigw9GL4JpWNj97RqIsO4SEgybOJC9y5F2Cv0/edit?usp=drivesdk","1s55HQJaigw9GL4JpWNj97RqIsO4SEgybOJC9y5F2Cv0","Other","Medium",""
"Content Agent Training Deck","https://docs.google.com/presentation/d/1JtVl-TJ1-2QUl0CLVzes_YZYDGZGd86AJlHVnPvhso0/edit?usp=drivesdk","1JtVl-TJ1-2QUl0CLVzes_YZYDGZGd86AJlHVnPvhso0","Presentation/Deck","High",""
"Case Study Slide Library - Copilot","NOT FOUND","","Case Study","Medium",""
"Training: Agentic Platform Customer Deck","https://drive.google.com/file/d/1FOqSsMw3gHRRA_Gz29whqQdik3nbRcSy/view?usp=drivesdk","1FOqSsMw3gHRRA_Gz29whqQdik3nbRcSy","Presentation/Deck","High",""
"Agentic Customer Outreach","https://drive.google.com/drive/folders/1eFPaR-V0pn5XzBNPKZ0jApRCXk3DAHQ8","1eFPaR-V0pn5XzBNPKZ0jApRCXk3DAHQ8","Folder","Skip","Folder, not a document"
"Agent Deployment Tracker","https://drive.google.com/file/d/1hoN4M0Xbf9aVQjWsQUcZLVMHiR_DTYio/view?usp=drivesdk","1hoN4M0Xbf9aVQjWsQUcZLVMHiR_DTYio","Other","Medium",""
"Agentic Platform","https://drive.google.com/drive/folders/1xd2sMA5aOZ5nha_Ho5f_EavQqht3qOmV","1xd2sMA5aOZ5nha_Ho5f_EavQqht3qOmV","Folder","Skip","Folder, not a document"
"Content Agent","https://drive.google.com/drive/folders/1wyAw89mvayD-uB528pECcuCrZeYn60R_","1wyAw89mvayD-uB528pECcuCrZeYn60R_","Folder","Skip","Folder, not a document"
"CommerceIQ-AllyAI-Content-Agent-OnePager.pdf","https://drive.google.com/file/d/1DfBL1W7JNuhrgK7-tUBHIdsOGhox-gtm/view?usp=drivesdk","1DfBL1W7JNuhrgK7-tUBHIdsOGhox-gtm","PDF Document","High",""
"Winning the next wave of search_How gen AI is reshaping retail_v1.1","https://docs.google.com/document/d/1y6pQ_Xej-Ayrnvyv82kZ5GRRCdMXIq40p6j2TZDWrX4/edit?usp=drivesdk","1y6pQ_Xej-Ayrnvyv82kZ5GRRCdMXIq40p6j2TZDWrX4","Other","Medium",""
"ICP 1","NOT FOUND","","Folder","Skip","Folder, not a document"
"CommerceIQ Pro-Cat: A global content management tool","https://drive.google.com/file/d/187jPqkUjve5J0odEspHKj9NtmskOzqay/view?usp=drivesdk","187jPqkUjve5J0odEspHKj9NtmskOzqay","Other","Medium",""
"AllyAI Teammate I S&S Dashboard Example Generic","https://docs.google.com/presentation/d/1uhmhOXzmxE6Q9eznkbTMVnLo3bCnwZJWes8u_CAxC9A/edit?usp=drivesdk","1uhmhOXzmxE6Q9eznkbTMVnLo3bCnwZJWes8u_CAxC9A","Other","Medium",""
"AllyAI Media Teammate I 1-Click Report MBR MoM Example Generic","https://docs.google.com/presentation/d/1rA9tZCkZpMBQ8onkwwQEIs3yliAMGMk9fvtptU1UpCs/edit?usp=drivesdk","1rA9tZCkZpMBQ8onkwwQEIs3yliAMGMk9fvtptU1UpCs","Industry Report","Low",""
"Command Center talktrack","https://drive.google.com/file/d/1oEuLSQ_FZUmmP-j34JOombXOXUboXNEN/view?usp=drivesdk","1oEuLSQ_FZUmmP-j34JOombXOXUboXNEN","Other","Medium",""
"DSO_Automated Product Tagging Process.pdf","https://drive.google.com/file/d/1DSo1NZG6Ir2NSwWTNSXStFKfdLXvCkiS/view?usp=drivesdk","1DSo1NZG6Ir2NSwWTNSXStFKfdLXvCkiS","PDF Document","High",""
"CommerceIQ-Prime-Big-Deal-Days-2025-Report","https://docs.google.com/presentation/d/1dQ4Ui4qMXCW-gJ-c-oGwjwxHe41p0ePnSrdaIDTUbGo/edit?usp=drivesdk","1dQ4Ui4qMXCW-gJ-c-oGwjwxHe41p0ePnSrdaIDTUbGo","Industry Report","Low",""
"CommerceIQ-Quarterly-Industry-Trends-2025-Q3-report-Sept-2025-va","https://docs.google.com/presentation/d/15fZ6UceIo5E4FUnpd5QOIQcJGIwVPvjQ3XK-lZyIjWM/edit?usp=drivesdk","15fZ6UceIo5E4FUnpd5QOIQcJGIwVPvjQ3XK-lZyIjWM","Industry Report","Low",""
"CategoryIQ-IndustryReport-StuffedToys","https://docs.google.com/presentation/d/1oe5hjcvUGKF7ipy7sjr2O6L3DZ_OxmVBWm2WewhuNgI/edit?usp=drivesdk","1oe5hjcvUGKF7ipy7sjr2O6L3DZ_OxmVBWm2WewhuNgI","Industry Report","Low",""
"CommerceIQ-CategoryIQ-Hair-Styling-April-2025","https://docs.google.com/presentation/d/1l-vCwZQ9xrK-lg6dZ9ZbjPyVPxMLiQUQ1fjP0RAhzgw/edit?usp=drivesdk","1l-vCwZQ9xrK-lg6dZ9ZbjPyVPxMLiQUQ1fjP0RAhzgw","Other","Medium",""
"CommerceIQ-CategoryIQ-Liquid-Body-Wash-April-2025","https://docs.google.com/presentation/d/14JbaX-O_evmuIo_FYZ7gmCJsNBZkRMPa9dKeV-BlHQ0/edit?usp=drivesdk","14JbaX-O_evmuIo_FYZ7gmCJsNBZkRMPa9dKeV-BlHQ0","Other","Medium",""
"CommerceIQ-Prime-Day-2024-Insights","https://docs.google.com/presentation/d/1-q2LxrtTOooTbU3guxAK8RjUXSqKxt1ZeoDtnhIrzZA/edit?usp=drivesdk","1-q2LxrtTOooTbU3guxAK8RjUXSqKxt1ZeoDtnhIrzZA","Industry Report","Low",""
"CommerceIQ-Quarterly-Industry-Trends-2025-Q1-report-April-2025-va","https://docs.google.com/presentation/d/1iy4dRWKUOY-97vb00f9hDXszQ74XBQkreNICPMD5JBw/edit?usp=drivesdk","1iy4dRWKUOY-97vb00f9hDXszQ74XBQkreNICPMD5JBw","Industry Report","Low",""
"Comprehensive Prime Day Report July 2024","https://docs.google.com/presentation/d/10IBSw-YGlYVC5z-7_X5oCde5ZArdPanDm65Eiky52rc/edit?usp=drivesdk","10IBSw-YGlYVC5z-7_X5oCde5ZArdPanDm65Eiky52rc","Industry Report","Low",""
"IndustryTrends-TheStateofRetailEcomm-Q3","https://docs.google.com/presentation/d/1JmOOEArkirr9FLw32PRkjjRsiYfBbRVoHV43RNqRKpw/edit?usp=drivesdk","1JmOOEArkirr9FLw32PRkjjRsiYfBbRVoHV43RNqRKpw","Industry Report","Low",""
"Winning the next wave of search_How gen AI is reshaping retail_v1.1.pdf","https://drive.google.com/file/d/1vT2WjqX8X0iIIGDzk67ioyz8JRIRxhAL/view?usp=drivesdk","1vT2WjqX8X0iIIGDzk67ioyz8JRIRxhAL","PDF Document","High",""
