File ID,File Name,Web View URL,MIME Type,Modified Date,Folder Path
"1cZh9BEqucGuMreDLbi983jsJ6ieipm3ITB_ULLV2lBk","[Aniket] Agentic Platform Customer Deck","https://docs.google.com/presentation/d/1cZh9BEqucGuMreDLbi983jsJ6ieipm3ITB_ULLV2lBk/edit?usp=drivesdk","application/vnd.google-apps.presentation","2026-03-06T18:46:33.540Z","Trainings/Agentic Platform"
"1Y4UywKXgAam6FGYGCBJebZPMR2PX-cxajdE8hlIIY14","AC Copilot - Competitive Intelligence","https://docs.google.com/presentation/d/1Y4UywKXgAam6FGYGCBJebZPMR2PX-cxajdE8hlIIY14/edit?usp=drivesdk","application/vnd.google-apps.presentation","2026-02-20T21:11:39.615Z","Competitive Intelligence/Competitive Battlecards"
"1XvpvrN7_kADqYFe47ylnJR3F-om2TU1V","Account Summary Slide - ABI.pdf","https://drive.google.com/file/d/1XvpvrN7_kADqYFe47ylnJR3F-om2TU1V/view?usp=drivesdk","application/pdf","2026-01-16T18:40:03.000Z","AllyAI Agents/Agentic Customer Outreach/Gurus prep"
"1pdmxXjyjQPWEt6jNYQwSDGnQfzBQaavP","Account Summary Slide - KC Canada.pdf","https://drive.google.com/file/d/1pdmxXjyjQPWEt6jNYQwSDGnQfzBQaavP/view?usp=drivesdk","application/pdf","2026-01-16T18:44:09.000Z","AllyAI Agents/Agentic Customer Outreach/Gurus prep"
"1hoN4M0Xbf9aVQjWsQUcZLVMHiR_DTYio","Agent Deployment Tracker","https://drive.google.com/file/d/1hoN4M0Xbf9aVQjWsQUcZLVMHiR_DTYio/view?usp=drivesdk","application/vnd.google-apps.shortcut","2026-01-12T17:00:37.107Z","AllyAI Agents/Agentic Customer Outreach"
"1vnbulKXEam0skTM35j-t9NZjGPizzUqtPIofBmSJElQ","Agent Pitch - Customer PresentationV3","https://docs.google.com/presentation/d/1vnbulKXEam0skTM35j-t9NZjGPizzUqtPIofBmSJElQ/edit?usp=drivesdk","application/vnd.google-apps.presentation","2026-03-11T00:00:01.566Z","AllyAI Agents/Agentic Customer Outreach"
"1fwLWPNbVMpP8wOEyaYpkY75TTa0c7y5vrdZ2GztKXLs","AGO - Chorus Recording / Demo Video Links","https://docs.google.com/document/d/1fwLWPNbVMpP8wOEyaYpkY75TTa0c7y5vrdZ2GztKXLs/edit?usp=drivesdk","application/vnd.google-apps.document","2025-10-15T19:43:38.044Z","Trainings/AiGO"
"19HptMAE3kaQhsIQsMd0x-cSL1_sHOzb6cAHebMBa2J4","AI Goal Optimizer - External Customer Deck","https://docs.google.com/presentation/d/19HptMAE3kaQhsIQsMd0x-cSL1_sHOzb6cAHebMBa2J4/edit?usp=drivesdk","application/vnd.google-apps.presentation","2026-03-02T23:41:23.172Z","AllyAI Agents/Media Agent"
"1icEP_MRHspJzIOkHHXA9heemdaOEIAvaugt_F2SG-Yw","AI Goal Optimizer - Internal Training Deck V2","https://docs.google.com/presentation/d/1icEP_MRHspJzIOkHHXA9heemdaOEIAvaugt_F2SG-Yw/edit?usp=drivesdk","application/vnd.google-apps.presentation","2026-03-10T10:07:25.185Z","Trainings/AiGO"
"1VxF4b1tleLEOrp9O2xEt_l8CDnPl2a_E","AI Goal Optimizer Demo Script","https://drive.google.com/file/d/1VxF4b1tleLEOrp9O2xEt_l8CDnPl2a_E/view?usp=drivesdk","application/vnd.google-apps.shortcut","2025-10-15T19:39:00.529Z","Trainings/AiGO"
"1YmUoZAs9usjPyYIv1WgLSBUGXdeF56K0","AI Goal Optimizer Media Agent Sell Sheet June 2025","https://drive.google.com/file/d/1YmUoZAs9usjPyYIv1WgLSBUGXdeF56K0/view?usp=drivesdk","application/pdf","2026-02-23T23:34:47.732Z","AllyAI Agents/Media Agent"
"1J6qBG6orf29KRgsdSigkNvOYBHyPUaNY3dqsPidoHRw","AllyAI Agent Product Hub","https://docs.google.com/document/d/1J6qBG6orf29KRgsdSigkNvOYBHyPUaNY3dqsPidoHRw/edit?usp=drivesdk","application/vnd.google-apps.document","2026-03-10T23:46:00.905Z","AllyAI Agents"
"15zKFbgUa2SS6H98tRWMQUEhsnxgAipegF8eErhLLjow","AllyAI Content Agent_2nd Call Slides","https://docs.google.com/presentation/d/15zKFbgUa2SS6H98tRWMQUEhsnxgAipegF8eErhLLjow/edit?usp=drivesdk","application/vnd.google-apps.presentation","2026-03-12T17:37:20.659Z","AllyAI Agents/Content Agent"
"18mgP0-_5ARrVL1yO2HE3rS6C9fuMO7jb","AllyAI Content Agent_datasheet.pdf","https://drive.google.com/file/d/18mgP0-_5ARrVL1yO2HE3rS6C9fuMO7jb/view?usp=drivesdk","application/pdf","2026-02-24T00:49:09.140Z","AllyAI Agents/Content Agent"
"1kt0aXqqNaR3eKwuTFxab5muYVq5l-H2PllQ3XVr4YFs","AllyAI Media Agent & Services","https://docs.google.com/presentation/d/1kt0aXqqNaR3eKwuTFxab5muYVq5l-H2PllQ3XVr4YFs/edit?usp=drivesdk","application/vnd.google-apps.presentation","2026-03-02T22:02:45.081Z","AllyAI Agents/Media Agent"
"1QZ2oSNQ9BVFRcntLSIkrJZjGFhEIJCvk00oD2MRIzL4","AllyAI Sales Agent 2nd Call Deck","https://docs.google.com/presentation/d/1QZ2oSNQ9BVFRcntLSIkrJZjGFhEIJCvk00oD2MRIzL4/edit?usp=drivesdk","application/vnd.google-apps.presentation","2026-03-12T22:24:09.481Z","AllyAI Agents/Sales Agent"
"1JkImyzIkVNClT-xWDBA4dtHHTpuFu6zDyTo01wDPbao","April 2024 - Internal Competitive Update Slides","https://docs.google.com/presentation/d/1JkImyzIkVNClT-xWDBA4dtHHTpuFu6zDyTo01wDPbao/edit?usp=drivesdk","application/vnd.google-apps.presentation","2024-05-13T18:47:39.186Z","Competitive Intelligence/Competitive Updates"
"13WUXmDPUpxXHK0CG-EWKukO3pShZXjGz30K9W7G9T6U","Ascential/Omnicom Competitive Battle Card (Updated May 2024)","https://docs.google.com/presentation/d/13WUXmDPUpxXHK0CG-EWKukO3pShZXjGz30K9W7G9T6U/edit?usp=drivesdk","application/vnd.google-apps.presentation","2024-08-07T22:16:32.085Z","Competitive Intelligence/Competitive Battlecards"
"1UrSYThv-P1-a1xXT6CcKpA5HLuagxi3V","Britax Account Summary Slide.pdf","https://drive.google.com/file/d/1UrSYThv-P1-a1xXT6CcKpA5HLuagxi3V/view?usp=drivesdk","application/pdf","2026-01-16T18:45:08.000Z","AllyAI Agents/Agentic Customer Outreach/Gurus prep"
"1B9nhoWYZcliLHJjVLNJE3GstYyoKjqNL","Buyer Personas - v2_7.20.22.pptx","https://docs.google.com/presentation/d/1B9nhoWYZcliLHJjVLNJE3GstYyoKjqNL/edit?usp=drivesdk&ouid=118049293918336601246&rtpof=true&sd=true","application/vnd.openxmlformats-officedocument.presentationml.presentation","2025-05-28T23:05:48.725Z","Buyer Personas"
