File Name,File ID,Has File ID,Created Date,Modified Date,Last Sync Date,Type,Vector Count,Web View Link
"[Aniket] Agentic Platform Customer Deck","1cZh9BEqucGuMreDLbi983jsJ6ieipm3ITB_ULLV2lBk","Yes","2025-12-18","2026-02-28","2026-03-01","application/vnd.google-apps.presentation","13","https://docs.google.com/presentation/d/1cZh9BEqucGuMreDLbi983jsJ6ieipm3ITB_ULLV2lBk/edit?usp=drivesdk"
"7","","No (legacy)","","","2026-01-22","application/pdf","12","https://docs.google.com/presentation/d/1uzlv-HVGzBrcdU5aD9aW4ruHUGiE2IHBT0o0crcvK94/edit?usp=drivesdk"
"8/3 Ally 2 Training Deckv2","1OE9r6Mzj-Zf_YmoBlF_j5E1-PEszixzoZ4d0Z2Zm3Gs","Yes","2025-07-31","2025-10-14","2026-01-22","application/pdf","29","https://docs.google.com/presentation/d/1OE9r6Mzj-Zf_YmoBlF_j5E1-PEszixzoZ4d0Z2Zm3Gs/edit?usp=drivesdk"
"AC Copilot - Competitive Intelligence","1Y4UywKXgAam6FGYGCBJebZPMR2PX-cxajdE8hlIIY14","Yes","2024-10-22","2026-02-20","2026-02-21","application/vnd.google-apps.presentation","13","https://docs.google.com/presentation/d/1Y4UywKXgAam6FGYGCBJebZPMR2PX-cxajdE8hlIIY14/edit?usp=drivesdk"
"Account Summary Slide - ABI.pdf","1XvpvrN7_kADqYFe47ylnJR3F-om2TU1V","Yes","2026-01-16","2026-01-16","2026-01-22","application/pdf","9","https://drive.google.com/file/d/1XvpvrN7_kADqYFe47ylnJR3F-om2TU1V/view?usp=drivesdk"
"Account Summary Slide - KC Canada.pdf","1pdmxXjyjQPWEt6jNYQwSDGnQfzBQaavP","Yes","2026-01-16","2026-01-16","2026-01-22","application/pdf","7","https://drive.google.com/file/d/1pdmxXjyjQPWEt6jNYQwSDGnQfzBQaavP/view?usp=drivesdk"
"Agent Pitch - Customer Presentation","1Dp3Fx3TGE1I1l2XA-mgm9-rALcEZoeISgXnSL40G8xI","Yes","2026-01-06","2026-02-18","2026-02-19","application/vnd.google-apps.presentation","207","https://docs.google.com/presentation/d/1Dp3Fx3TGE1I1l2XA-mgm9-rALcEZoeISgXnSL40G8xI/edit?usp=drivesdk"
"Agent Pitch - Customer PresentationV3","1vnbulKXEam0skTM35j-t9NZjGPizzUqtPIofBmSJElQ","Yes","2026-02-06","2026-02-27","2026-02-28","application/vnd.google-apps.presentation","25","https://docs.google.com/presentation/d/1vnbulKXEam0skTM35j-t9NZjGPizzUqtPIofBmSJElQ/edit?usp=drivesdk"
"Agent Product Hub","","No (legacy)","","","","text/plain","16","https://docs.google.com/document/d/1J6qBG6orf29KRgsdSigkNvOYBHyPUaNY3dqsPidoHRw/edit?usp=drivesdk"
"AGO - Chorus Recording / Demo Video Links","1fwLWPNbVMpP8wOEyaYpkY75TTa0c7y5vrdZ2GztKXLs","Yes","2025-10-15","2025-10-15","2026-01-22","text/plain","1","https://docs.google.com/document/d/1fwLWPNbVMpP8wOEyaYpkY75TTa0c7y5vrdZ2GztKXLs/edit?usp=drivesdk"
"AI Goal Optimizer - External Customer Deck","19HptMAE3kaQhsIQsMd0x-cSL1_sHOzb6cAHebMBa2J4","Yes","2025-09-17","2026-02-27","2026-02-28","application/vnd.google-apps.presentation","8","https://docs.google.com/presentation/d/19HptMAE3kaQhsIQsMd0x-cSL1_sHOzb6cAHebMBa2J4/edit?usp=drivesdk"
"AI Goal Optimizer - Internal Training Deck V2","1icEP_MRHspJzIOkHHXA9heemdaOEIAvaugt_F2SG-Yw","Yes","2025-09-16","2026-01-19","2026-01-22","application/vnd.google-apps.presentation","21","https://docs.google.com/presentation/d/1icEP_MRHspJzIOkHHXA9heemdaOEIAvaugt_F2SG-Yw/edit?usp=drivesdk"
